group1,group2,N1,N2,low,high,width,obs_diff,zero_included
5.0_female,6.0_female,1338,241,-0.06696868276218042,-0.007038300887853954,0.05993038187432646,-0.03744478685109709,False
5.0_female,3.0_female,1338,1064,-0.07487578428748307,-0.04112043313214092,0.033755351155342145,-0.058086530527163505,False
5.0_female,2.0_female,1338,1625,-0.09254255008206996,-0.06038374374080392,0.03215880634126604,-0.07632146897623482,False
5.0_female,4.0_female,1338,409,-0.07152246246525376,-0.019238181867110973,0.05228428059814279,-0.04529353379237433,False
5.0_female,5.0_male,1338,1150,-0.020500976476708517,0.010269681206155519,0.030770657682864036,-0.004837456909863924,True
5.0_female,4.0_male,1338,708,-0.07955848006242375,-0.04403455389622757,0.03552392616619618,-0.06153858429692938,False
5.0_female,6.0_male,1338,516,-0.06401658804946832,-0.024867369931554112,0.039149218117914206,-0.043624505151938386,False
5.0_female,1.0_female,1338,16,-0.10407528155133455,0.1260543337290079,0.23012961528034245,0.012576570239456242,True
5.0_female,2.0_male,1338,1468,-0.07670814527823566,-0.04617932033088905,0.030528824947346614,-0.061425622337428876,False
5.0_female,3.0_male,1338,1052,-0.08427311035836041,-0.0523782750399565,0.03189483531840391,-0.06839664604325368,False
6.0_female,3.0_female,241,1064,-0.05037410090223256,0.011016681886369277,0.061390782788601835,-0.020641743676066415,True
6.0_female,2.0_female,241,1625,-0.07074661437700587,-0.007558780893469369,0.0631878334835365,-0.03887668212513773,False
6.0_female,4.0_female,241,409,-0.044802012882781725,0.02844872478103011,0.07325073766381184,-0.00784874694127724,True
6.0_female,5.0_male,241,1150,0.0019010484872293149,0.06373347306768681,0.0618324245804575,0.032607329941233165,False
6.0_female,4.0_male,241,708,-0.053475156308388054,0.007735409780344912,0.061210566088732966,-0.024093797445832288,True
6.0_female,6.0_male,241,516,-0.03856861673892811,0.026734035269315753,0.06530265200824387,-0.006179718300841297,True
6.0_female,1.0_female,241,16,-0.07525132719062835,0.15924113680741925,0.2344924639980476,0.05002135709055333,True
6.0_female,2.0_male,241,1468,-0.054575798620490536,0.003232936744922907,0.05780873536541344,-0.023980835486331786,True
6.0_female,3.0_male,241,1052,-0.060963830333479505,-0.0003733784871639348,0.06059045184631557,-0.030951859192156594,False
3.0_female,2.0_female,1064,1625,-0.03556959761537337,-0.001585889270699109,0.03398370834467426,-0.018234938449071314,False
3.0_female,4.0_female,1064,409,-0.014079131427376206,0.03949910777590884,0.05357823920328505,0.012792996734789175,True
3.0_female,5.0_male,1064,1150,0.03651498304214938,0.06997841483704167,0.03346343179489229,0.05324907361729958,False
3.0_female,4.0_male,1064,708,-0.02162708616006565,0.01599333731132232,0.03762042347138797,-0.0034520537697658726,True
3.0_female,6.0_male,1064,516,-0.006585069819443658,0.034487323610336816,0.041072393429780474,0.014462025375225118,True
3.0_female,1.0_female,1064,16,-0.05289414943609497,0.1819477922748018,0.23484194171089676,0.07066310076661975,True
3.0_female,2.0_male,1064,1468,-0.020172828491337884,0.01378623908563504,0.03395906757697292,-0.003339091810265371,True
3.0_female,3.0_male,1064,1052,-0.026989292621443277,0.0073761069491815046,0.03436539957062478,-0.01031011551609018,True
2.0_female,4.0_female,1625,409,0.0033573650370521887,0.05545223067335811,0.05209486563630592,0.03102793518386049,False
2.0_female,5.0_male,1625,1150,0.05720575414782071,0.08700342760181834,0.029797673453997628,0.0714840120663709,False
2.0_female,4.0_male,1625,708,-0.002510690300883113,0.03099817087201198,0.03350886117289509,0.014782884679305441,True
2.0_female,6.0_male,1625,516,0.01233889409193166,0.05140658208081057,0.03906768798887891,0.03269696382429643,False
2.0_female,1.0_female,1625,16,-0.034991885369526826,0.20248357466064051,0.23747546003016734,0.08889803921569106,True
2.0_female,2.0_male,1625,1468,0.0010249304416854975,0.028810758565852673,0.027785828124167175,0.014895846638805943,False
2.0_female,3.0_male,1625,1052,-0.006779015320950682,0.023918758989565185,0.030697774310515867,0.007924822932981135,True
4.0_female,5.0_male,409,1150,0.016968112767344445,0.0662364121355658,0.04926829936822136,0.040456076882510406,False
4.0_female,4.0_male,409,708,-0.042447005458764064,0.012882070644899955,0.05532907610366402,-0.016245050504555048,True
4.0_female,6.0_male,409,516,-0.02766584437159514,0.03154799705367494,0.05921384142527008,0.0016690286404359433,True
4.0_female,1.0_female,409,16,-0.07239282204324463,0.1631221834699626,0.23551500551320723,0.05787010403183057,True
4.0_female,2.0_male,409,1468,-0.04046080707556066,0.009605853229773496,0.05006666030533416,-0.016132088545054546,True
4.0_female,3.0_male,409,1052,-0.04952608724929342,0.0030265757501194354,0.05255266299941286,-0.023103112250879354,True
5.0_male,4.0_male,1150,708,-0.07367192044268235,-0.039950706455507884,0.03372121398717447,-0.05670112738706545,False
5.0_male,6.0_male,1150,516,-0.05843225982603395,-0.020191856577772345,0.038240403248261605,-0.03878704824207446,False
5.0_male,1.0_female,1150,16,-0.10405483474326355,0.12647769279952642,0.23053252754278997,0.017414027149320166,True
5.0_male,2.0_male,1150,1468,-0.06953030789261852,-0.04336577698265369,0.02616453090996483,-0.05658816542756495,False
5.0_male,3.0_male,1150,1052,-0.0782814983395404,-0.049359501914916185,0.028921996424624216,-0.06355918913338976,False
4.0_male,6.0_male,708,516,-0.0040317260830597945,0.038698930662787866,0.04273065674584766,0.01791407914499099,True
4.0_male,1.0_female,708,16,-0.04969868173258485,0.18347551096709402,0.23317419269967887,0.07411515453638562,True
4.0_male,2.0_male,708,1468,-0.01629347860115014,0.016661669845312553,0.03295514844646269,0.00011296195950050159,True
4.0_male,3.0_male,708,1052,-0.02342644584861086,0.01018946569801385,0.03361591154662471,-0.0068580617463243065,True
6.0_male,1.0_female,516,16,-0.05577945688934599,0.1685189499733987,0.2242984068627447,0.05620107539139463,True
6.0_male,2.0_male,516,1468,-0.03578640626495061,0.0009459785203869281,0.03673238478533754,-0.01780111718549049,True
6.0_male,3.0_male,516,1052,-0.043666983171264044,-0.0038547377457468293,0.039812245425517215,-0.024772140891315297,False
1.0_female,2.0_male,16,1468,-0.18726175312139168,0.05331830945540994,0.24058006257680162,-0.07400219257688512,True
1.0_female,3.0_male,16,1052,-0.19013070342205116,0.03975779677365457,0.22988850019570573,-0.08097321628270993,True
2.0_male,3.0_male,1468,1052,-0.021107667484924326,0.006581227200392531,0.027688894685316857,-0.006971023705824808,True
